16/09/2016;Café;1
16/09/2016;Chocolat;1
16/09/2016;Thé;1
17/09/2016;Café;7
18/09/2016;Café;3
19/09/2016;Eau;1
20/09/2016;Snickers;1
21/09/2016;Café;1
22/09/2016;Eau;1
22/09/2016;Chips;1
22/09/2016;Coca;1
22/09/2016;Mars;1
24/09/2016;Café;37
25/09/2016;Café;38
25/09/2016;Eau;2
27/09/2016;Café;3
27/09/2016;Twix;1
28/09/2016;Café;5
28/09/2016;Coca;2
28/09/2016;Snickers;1
29/09/2016;Eau;1
29/09/2016;Café;1
29/09/2016;Chips;1
30/09/2016;Snickers;1
30/09/2016;Eau;1
30/09/2016;Déca;2
01/10/2016;Café;40
01/10/2016;Twix;1
02/10/2016;Café;59
02/10/2016;Thé;9
02/10/2016;Snickers;1
02/10/2016;Mars;1
02/10/2016;Twix;1
03/10/2016;Café;2
04/10/2016;Café;7
04/10/2016;Orangina;1
05/10/2016;Thé;1
05/10/2016;Café;2
05/10/2016;Chocolat;1
06/10/2016;Thé;4
06/10/2016;Café;5
06/10/2016;Twix;1
06/10/2016;Eau;1
07/10/2016;Coca zero;2
07/10/2016;Café;3
07/10/2016;Déca;1
07/10/2016;Eau;2
07/10/2016;Bière;52
07/10/2016;Blanc;42
07/10/2016;Rouge;11
07/10/2016;Ice Tea;2
07/10/2016;Planche;5
07/10/2016;Orangina;3
07/10/2016;Coca;2
07/10/2016;Twix;1
07/10/2016;Snickers;1
08/10/2016;Café;12
08/10/2016;Déca;2
08/10/2016;Thé;1
08/10/2016;Chocolat;1
09/10/2016;Café;10
09/10/2016;Eau;1
09/10/2016;Chocolat;1
09/10/2016;Déca;1
09/10/2016;Chips;1
09/10/2016;Thé;1
10/10/2016;Café;6
10/10/2016;Coca;1
10/10/2016;Snickers;2
10/10/2016;Eau;1
11/10/2016;Café;9
12/10/2016;Café;7
12/10/2016;Thé;1
13/10/2016;Thé;2
13/10/2016;Café;1
13/10/2016;Chocolat;1
14/10/2016;Café;4
15/10/2016;Café;6
15/10/2016;Thé;3
15/10/2016;Chocolat;1
15/10/2016;Eau;1
15/10/2016;Snickers;2
16/10/2016;Coca;2
16/10/2016;Coca zero;1
17/10/2016;Café;3
18/10/2016;Café;1
18/10/2016;Coca;1
18/10/2016;Mars;1
19/10/2016;Café;6
19/10/2016;Eau;1
20/10/2016;Café;3
20/10/2016;Thé;6
21/10/2016;Café;3
24/10/2016;Café;1
25/10/2016;Eau;1
26/10/2016;Chocolat;1
26/10/2016;Café;6
28/10/2016;Café;8
28/10/2016;Twix;1
28/10/2016;Thé;1
02/11/2016;Café;5
02/11/2016;Snickers;1
02/11/2016;Eau;1
02/11/2016;Twix;1
02/11/2016;Coca;1
03/11/2016;Thé;2
03/11/2016;Café;4
03/11/2016;Snickers;1
05/11/2016;Café;9
06/11/2016;Café;22
06/11/2016;Chocolat;2
07/11/2016;Café;1
07/11/2016;Coca;1
07/11/2016;Déca;2
07/11/2016;Thé;1
08/11/2016;Café;2
09/11/2016;Café;2
09/11/2016;Thé;1
09/11/2016;Eau;2
10/11/2016;Café;2
10/11/2016;Chocolat;1
12/11/2016;Café;1
14/11/2016;Café;3
14/11/2016;Thé;3
15/11/2016;Orangina;1
16/11/2016;Café;4
17/11/2016;Café;10
17/11/2016;Coca zero;1
17/11/2016;Twix;1
19/11/2016;Café;6
19/11/2016;Thé;1
19/11/2016;Chocolat;1
21/11/2016;Snickers;2
21/11/2016;Coca zero;1
23/11/2016;Café;3
24/11/2016;Café;5
24/11/2016;Chocolat;1
24/11/2016;Thé;2
26/11/2016;Twix;1
30/11/2016;Café;3
30/11/2016;Thé;2
30/11/2016;Eau;2
01/12/2016;Thé;5
01/12/2016;Café;1
01/12/2016;Coca;1
03/12/2016;Café;10
04/12/2016;Café;3
04/12/2016;Coca zero;1
05/12/2016;Café;6
05/12/2016;Eau;1
06/12/2016;Café;7
07/12/2016;Café;6
07/12/2016;Eau;2
07/12/2016;Snickers;1
08/12/2016;Thé;3
08/12/2016;Chocolat;1
08/12/2016;Café;4
08/12/2016;Coca zero;1
10/12/2016;Café;2
12/12/2016;Chocolat;2
14/12/2016;Café;5
14/12/2016;Thé;1
15/12/2016;Café;3
15/12/2016;Thé;4
17/12/2016;Café;7
17/12/2016;Chocolat;2
17/12/2016;Snickers;2
17/12/2016;Eau;1
17/12/2016;Twix;1
18/12/2016;Eau;1
19/12/2016;Café;4
19/12/2016;Twix;1
20/12/2016;Café;7
21/12/2016;Café;2
02/01/2017;Café;9
02/01/2017;Thé;8
02/01/2017;Twix;1
02/01/2017;Mars;1
03/01/2017;Café;11
03/01/2017;Thé;5
03/01/2017;Coca zero;1
03/01/2017;Twix;1
04/01/2017;Café;5
04/01/2017;Thé;3
04/01/2017;Coca;2
05/01/2017;Thé;5
05/01/2017;Café;11
05/01/2017;Coca;1
05/01/2017;Eau;1
06/01/2017;Café;14
06/01/2017;Thé;1
06/01/2017;Eau;2
06/01/2017;Chocolat;1
06/01/2017;Twix;1
07/01/2017;Café;6
07/01/2017;Eau;2
07/01/2017;Coca;1
08/01/2017;Café;4
09/01/2017;Café;1
09/01/2017;Thé;1
10/01/2017;Café;1
10/01/2017;Chocolat;1
11/01/2017;Café;7
11/01/2017;Thé;2
11/01/2017;Eau;1
12/01/2017;Thé;4
12/01/2017;Café;2
